board,difficulty,trap_count,board_solve_rate
7aaf1b6cf84a,easy,0,0.8837
3d23838559e9,medium,0,0.2619
7220c659e9a0,easy,0,0.7368
9f8bf7db852d,easy,0,0.9211
deebe1b291ce,medium,0,0.2703
7926ea5eeead,easy,0,0.5135
2e42a8a4dbae,easy,0,0.973
f8c1798842aa,medium,0,0.2857
75cad72098d7,easy,0,0.8889
fc24e1900d89,easy,0,0.6944
899c69f5c8fb,easy,0,0.5294
8bf803bfbd34,easy,0,0.7714
edb37106d6e0,easy,0,0.9429
b80f9933f714,easy,0,0.9394
531a354a9fda,easy,0,0.9706
8233dc70dd71,hard,0,0.0
8a1ad6f80696,easy,0,0.9394
cf0c4a05b7a5,easy,0,0.6061
2c9d23d62aeb,medium,0,0.4545
e14d1e7a63df,medium,0,0.303
0d74bc291a86,easy,0,0.5152
c254020fd6b6,easy,0,0.9394
abf40b64e578,easy,0,0.8788
c4658fbc2117,easy,0,0.9091
842469212d0b,easy,0,0.9091
43f5088ef570,easy,0,0.7879
c3d2a5b74ab6,easy,0,0.5455
32e0eb46a2a1,easy,0,0.6667
3d79fdf98044,easy,0,0.9394
ab19c81e09bc,easy,0,0.9394
02b2a6d831e2,easy,0,0.5758
2612ca778ba3,easy,3,0.5455
7d64a7027039,easy,0,0.9091
e1add8a99558,easy,2,0.8788
dfbe6990ab43,easy,2,0.7879
c99ee3cc4287,easy,0,0.9697
663b00ecb1cb,easy,0,0.9697
7df8093ede9b,easy,0,0.697
73f9a575718c,easy,0,0.8485
5322823555ca,easy,0,0.9091
daf3d086fb33,hard,0,0.0
8468d0d086be,hard,0,0.0
956e65113b5b,hard,0,0.0625
32d369aa2a28,hard,0,0.0
cfa79c66ab42,hard,0,0.0
364d4aa46b26,hard,0,0.0
8e1cdcbccdbc,hard,0,0.0
67093a704f8c,hard,0,0.0625
d2d075a0fc07,hard,0,0.0
a77bca9e982b,medium,0,0.1333
9abab1febc8c,hard,0,0.0
4c157fb139cb,hard,0,0.0
7fa81f89e6d7,hard,0,0.0
a039baa74bb1,medium,0,0.2333
50076797354c,hard,0,0.0
a18963c4d54f,hard,0,0.0
5ef6e7c3beaf,hard,0,0.0
ed74f24e67e5,hard,0,0.0357
6fab93a9f6ff,hard,0,0.0
5b97eec461cc,medium,0,0.1429
550adaad81be,medium,0,0.2414
d9a73a553fe3,hard,0,0.0345
a182cc8caf75,hard,0,0.0
fcc791e682d6,hard,1,0.0
b70356863f0e,hard,0,0.0
b603fdc6a7f3,hard,0,0.0
e37bb062a923,medium,0,0.1034
4083f74854ad,hard,0,0.0
197acf84e960,hard,0,0.0
9e2044a6e594,medium,0,0.2414
d0f7fa920b47,hard,0,0.0
3b10c543a23c,medium,0,0.1379
98e0c2f522e5,hard,1,0.0
2076e0dfaece,hard,1,0.0
d2687c01cd3d,hard,0,0.069
2f5c60bc8a4e,hard,0,0.0
10fceff38831,hard,0,0.069
53541e714a5d,hard,0,0.0
7a77a3ff30f1,hard,0,0.037
5f888534468b,hard,0,0.037
f407babee160,hard,1,0.0
e7db4836fc51,hard,0,0.037
a3ed31d8321e,medium,0,0.1852
e8c9ef3b6959,medium,1,0.4074
8f2a92fc0dd7,easy,0,0.5926
5fafc4eeda01,hard,1,0.0
f040927b4fab,hard,0,0.037
4c9eefd38732,hard,0,0.0741
42168d5283d6,medium,0,0.2593
b1e58934d5b1,medium,0,0.4815
c9cee1797c5f,medium,0,0.1852
f0c9e611af00,easy,0,0.8889
f1123806885b,easy,0,0.5556
e29a32c75a1d,easy,0,0.7778
5e0602f5bd21,easy,0,0.8519
26b92cb412c9,easy,0,0.7778
f7abf4047205,medium,0,0.2593
ddc7967e2eb5,hard,1,0.0
0b8daea1a680,hard,0,0.0741
9761df8a41ee,medium,1,0.3704
1c6b6763bb7b,hard,2,0.0
49f63bed81e6,medium,2,0.2222
c3dab0844850,hard,2,0.0
52e0ef086a91,medium,2,0.2963
cb0a76ec0ea5,medium,2,0.1852
9d64de53c20a,hard,2,0.0
5a2ed5f33dfd,hard,2,0.0
bcadfea429f7,medium,1,0.1923
ecca2f3289c2,hard,2,0.0
ff02137be8f6,hard,4,0.0
0d59b9072814,hard,1,0.0
a147e7a035d8,medium,1,0.12
592e5ea9c459,medium,1,0.28
1d73da108b25,hard,0,0.0
be5729d74edd,medium,1,0.2
75bd0d9a5fe1,hard,2,0.08
3baf43b6854e,hard,3,0.04
b77741e03a0d,hard,1,0.0
23f6de8528e4,hard,0,0.04
abfba6f3b3ad,hard,1,0.08
950d3d893290,easy,5,0.56
7e458e205213,medium,4,0.24
4d4dd4ac4249,easy,3,0.56
c9c8d53c09eb,easy,0,0.76
a54fe12b6521,easy,3,0.88
149c1106f4fc,medium,1,0.32
9896fd782077,easy,0,0.8
31cd23948701,easy,1,0.56
6c60113965b3,easy,0,0.52
f97530aca52b,hard,0,0.04
2d8235edf2dc,medium,0,0.24
6b058d6b3bd8,easy,1,0.64
c98ed4de00b0,hard,1,0.04
445d5545a082,easy,0,0.56
65c03d058db8,medium,1,0.44
c747a73605ee,hard,2,0.04
7871203ff4a3,hard,0,0.0
abdd79e3e060,medium,0,0.36
efd9ed02e3d1,easy,0,0.8
e16e13e5332e,medium,0,0.44
6dce381f13eb,easy,1,0.8
81e491f4ed88,medium,0,0.44
ddf740ceb81e,medium,0,0.2083
ffcfd16dc251,medium,0,0.24
1eed027e970f,easy,1,0.84
d0cb701cfa34,easy,0,0.84
9bc15e921262,easy,1,0.64
7351977642cc,easy,0,0.72
fd3b844db24f,medium,0,0.36
69c8b5896bce,medium,0,0.2
9a848592ef26,easy,1,0.92
22f7c6da4c03,easy,0,0.6
73b78fb1ceb3,easy,2,0.6
d652aa17f93e,medium,0,0.4
ca40e0f9c3f3,easy,0,0.5
25ef79e802a2,medium,1,0.44
43bb52d4f591,easy,0,0.96
4032cdca6c3f,medium,0,0.44
d4fe13ac8095,medium,0,0.12
68e5a617d714,hard,0,0.04
980de2a56e9d,hard,0,0.0
b6b9d3940871,hard,0,0.0
9cadf05cd3c6,hard,0,0.0
bd91a2c26f05,hard,0,0.0
e3cc7aa1f95a,hard,0,0.08
8a8375c25ccb,hard,0,0.0
402670f14874,medium,0,0.36
96e18d1edec9,medium,0,0.12
9413ebe653bf,hard,0,0.0
e2f4482509d9,hard,0,0.0
b55f3f3d1985,hard,0,0.0
7fdfb9ed17e3,hard,0,0.0
ab14989c3acf,hard,0,0.0
58e5d6635348,hard,0,0.0
a1ab15d8da4f,hard,0,0.04
360b800dffc9,hard,0,0.0417
de7e1f697778,hard,0,0.0
aab2272b7941,hard,0,0.0
baa2b3e24a25,hard,0,0.0
93ed0f84aaf2,hard,0,0.0
d7f6742652cd,hard,0,0.0833
8d47b3db4e03,medium,0,0.4583
ad428e34b9e9,hard,0,0.0
7d51193db759,hard,0,0.0
31b917b16ea5,hard,0,0.0
9e77f31a0bd1,medium,0,0.12
07abeb20286c,hard,0,0.08
307d5565f145,easy,0,0.6
821f98e268e1,easy,0,0.76
f88e46de6a90,hard,0,0.0
06acb2c35d53,easy,0,0.76
6932af2b3807,hard,0,0.0
1fb7e6592961,hard,0,0.0
d03dbcb76aef,easy,0,0.6667
11d2f4eab7fb,hard,0,0.0435
360bee5928b0,hard,0,0.0
0b148e91bd33,easy,0,0.913
90425d69a2dd,medium,0,0.1304
f4a653279b1c,hard,0,0.0
fb2c901c985c,medium,0,0.1667
